ds;country;polygon_source;polygon_id;polygon_name;tiles_visited_related_change;ratio_single_tile_users;baseline_name;baseline_type
20/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12745;0.24051;full_february;DAY_OF_WEEK
11/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13083;0.23086;full_february;DAY_OF_WEEK
11/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13276;0.22632;full_february;DAY_OF_WEEK
19/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13278;0.22914;full_february;DAY_OF_WEEK
04/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13347;0.22146;full_february;DAY_OF_WEEK
01/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13354;0.23177;full_february;DAY_OF_WEEK
18/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13422;0.22376;full_february;DAY_OF_WEEK
05/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13443;0.22372;full_february;DAY_OF_WEEK
29/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13495;0.23829;full_february;DAY_OF_WEEK
15/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13544;0.23483;full_february;DAY_OF_WEEK
02/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13592;0.23057;full_february;DAY_OF_WEEK
19/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13633;0.22193;full_february;DAY_OF_WEEK
18/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.13856;0.22153;full_february;DAY_OF_WEEK
31/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.1397;0.24924;full_february;DAY_OF_WEEK
10/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14156;0.23258;full_february;DAY_OF_WEEK
10/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14328;0.23292;full_february;DAY_OF_WEEK
08/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14427;0.22313;full_february;DAY_OF_WEEK
14/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14494;0.22219;full_february;DAY_OF_WEEK
13/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14575;0.22161;full_february;DAY_OF_WEEK
